ID,Title,Venue,Year,Method Summary,Relevance
cubuk2019_autoaugment,AutoAugment Learning Augmentation Strategies From Data,CVPR,2019,Uses RL search to discover fixed augmentation policies that outperform hand-tuned recipes,Strong static-augmentation baseline and motivation for dynamic per-frame policy
cubuk2020_randaugment,RandAugment Practical Automated Data Augmentation With a Reduced Search Space,CVPRW,2020,Search-free augmentation with two global hyperparameters and strong gains on ImageNet and COCO,Key low-compute baseline for fixed global augmentation
ho2019_pba,Population Based Augmentation Efficient Learning of Augmentation Policy Schedules,ICML,2019,Learns schedule-level augmentation policies with population based training,Relevant offline policy baseline without frame-level context adaptation
miao2016_cnn_registration,A CNN Regression Approach for Real-Time 2D 3D Registration,IEEE TMI,2016,Directly regresses registration transforms with CNNs,Registration learning baseline without joint augmentation control
zhang2020_homography,Content-Aware Unsupervised Deep Homography Estimation,CVPR,2020,Unsupervised deep homography for geometric alignment,Important fixed-transform deep registration comparator
vadidar2022_unified_rgbt,A Unified RGBT Framework for Object Detection and Saliency Detection,arXiv,2022,Proposes explicit discrepancy handling and edge-aware fusion for aligned RGBT perception,Provides published cross-modal gain evidence on FLIR
li2023_adcnet,Adaptive Dual-Calibration for RGBT Detection in Maritime Environments,Remote Sensing,2023,Performs spatial discrepancy calibration and domain discrepancy calibration for RGBT maritime detection,Direct evidence that calibration-aware methods improve M3FD results
li2024_fd2net,FD2-Net Feature Difference and Dynamic Fusion Network for Infrared and Visible Object Detection,AAAI,2025,Combines semantic-difference enhancement and dynamic bidirectional fusion,Strong recent IVOD benchmark evidence on FLIR M3FD and LLVIP
medeiros2025_wiseod,WiseOD A Large-Scale Complex Maritime Object Detection Benchmark with Aerial Infrared and Visible Data,arXiv,2025,Introduces maritime aerial IR/RGB benchmark with challenging operating conditions,Dataset source for hard-condition evaluation and generalization testing
liu2026_language_ir,Disentangle Language in Infrared Object Detection,arXiv,2026,Introduces language-disentangled supervision for robust infrared detection,Potential downstream detector backbone option for low-contrast thermal scenes
huang2025_m3ot_dataset,M3OT Dataset for Thermal and Visible Object Tracking in Maritime Environment,Scientific Data,2025,Maritime thermal-visible tracking benchmark for dynamic scenes,Supports evaluation of temporal registration robustness under maritime motion
lv2025_r_livit,R-LiVIT A Large-Scale Multi-Modal Tracking Dataset and Benchmark in Maritime Environment,ICCV,2025,Large-scale maritime multimodal benchmark for robust tracking and detection,Useful held-out benchmark for transfer and stress testing
