pdf_page,visible_page,classification,topic,figure_id,transcription_file,status,notes
5,5,handwritten,Simple pendulum linearized equation and characteristic roots,p005-pendulum,page-005.tex,final_audited,Handwritten derivation of pendulum equation; includes pendulum and free-body sketches.
6,6,handwritten,Simple pendulum natural frequency and particle motion,,page-006.tex,final_audited,"Handwritten continuation with natural frequency, frequency, period, and equivalent motion forms."
7,7,handwritten,Complex exponentials to trigonometric functions,,page-007.tex,final_audited,Handwritten proof of Euler-identity conversion and amplitude-phase form.
8,8,mixed,Oscillatory motion and initial-value solution,p008-oscillatory-motion,page-008.tex,final_audited,Handwritten graph and annotations above printed initial-value problem and equations.
9,9,handwritten,Initial conditions for complex-exponential solution,,page-009.tex,final_audited,Handwritten derivation of constants C1 and C2 and recovery of cosine-sine solution.
10,10,mixed,Harmonic oscillation definitions,p010-harmonic-oscillation,page-010.tex,final_audited,Handwritten harmonic-oscillation graph and definitions; source also carries printed page marker 8/162.
17,1,typed,One-degree-of-freedom vibration and spring-mass vibrating systems,p017-horizontal-spring-mass,page-017.tex,final_audited,Printed text and equations; Figure 1 includes spring-mass setup, displacement, and free-body diagram.
18,2,typed,Free vibration solution and characteristic equation,,page-018.tex,final_audited,Printed derivation of linear ODE solution and natural frequency.
19,3,typed,General solution and initial-value problem,,page-019.tex,final_audited,Printed complex and trigonometric solution forms; begins initial-value problem.
20,4,typed,Initial conditions and vertical spring-mass analysis,p020-vertical-spring-mass,page-020.tex,final_audited,Printed initial-condition solution and Figure 2 vertical spring-mass system.
21,5,typed,Static and vibration analysis of vertical spring-mass system,,page-021.tex,final_audited,Printed force balance and equation of motion derivation.
22,6,typed,Vertical vibration motion and gravity observation,p022-phase-motion,page-022.tex,final_audited,Printed Figure 3 phase-circle and oscillatory-motion schematic followed by explanatory text.
