ID,Title,Venue,Year,Method Summary,Relevance
yamauchi1997_frontier,A Frontier-Based Approach for Autonomous Exploration,CIRA,1997,Classic frontier exploration strategy for unknown map coverage,Primary non-energy-aware exploration baseline
hollinger2014_sampling,Sampling-Based Robotic Information Gathering Algorithms,IJRR,2014,Information gathering framework for active sensing and exploration,Foundation for information-gain objective design
seewald2023_ergodic,Energy-Aware Ergodic Search for Multi-Agent Spatial Prediction and Monitoring,arXiv,2023,Integrates energy awareness with ergodic exploration in uncertain fields,Modern energy-aware exploration baseline
yang2021_active_flow,Energy-Optimal Path Planning in Flows with Active Flow Perception,ICRA,2021,Jointly estimates flow and plans energy-optimal trajectories in dynamic currents,Directly relevant to marine current-aware navigation
cooperbaldock2025_wake,Wake-Informed Planning for Energy-Efficient Long-Range AUV Operations,arXiv,2025,Uses wake-informed A* and compares against current-informed and NN surrogates with energy metrics,Published quantitative evidence for current-aware energy reduction
gadhvi2025_khalasi,Khalasi Energy-Efficient Navigation in Surface Vortical Flows via Deep RL,arXiv,2025,Flow-aware SAC policy for ASV trajectories in vortical environments with reported energy gains,Direct evidence for RL-based energy-efficient marine control
liu2016_energy_marine,Energy-Aware Path Planning for Autonomous Marine Vehicles,OCEANS,2016,Classical energy-aware marine route planning under operational constraints,Baseline for optimization-based non-learning planners
aoues2018_usv_unknown,Path Planning Algorithm Design and Software Development for an Unmanned Surface Vehicle Navigation in an Unknown Environment,Ocean Engineering,2018,Develops USV navigation planning under unknown maritime conditions,Classical maritime planning comparator
li2024_usv_timevariant,An Energy-Efficient Path Planning Method for Unmanned Surface Vehicles in Time-Variant Maritime Environment,Ocean Engineering,2024,Time-varying maritime path planning with explicit energy criteria,Strong classical maritime comparator under nonstationary dynamics
tai2017_vtr_nav,Virtual-to-Real Deep Reinforcement Learning Continuous Control of Mobile Robots for Mapless Navigation,IROS,2017,Demonstrates deep RL transfer for navigation tasks,RL navigation baseline without explicit energy modeling
kahn2018_self_supervised_nav,Self-Supervised Deep Reinforcement Learning with Generalized Computation Graphs for Robot Navigation,ICRA,2018,Self-supervised RL navigation with real-world feedback,Comparator RL baseline without marine energy coupling
