File,Headline,Subhead,Reference_ID,Location,Topic,Major,Year,Quantity,Semester
Marketing_Main,Did ChatGPT write this lecture?,"Tell us about AI ethics, the future of degrees, or lazy professors.",RH.GRD01.UNI.ALL.x1.SP26,RH,GRD01,UNI,ALL,x1,SP26
Marketing_Main,Is that mold on your ceiling?,"Tell us about dorm horrors, slumlords, or waiting months for maintenance.",RH.HOU01.UNI.ALL.x1.SP26,RH,HOU01,UNI,ALL,x1,SP26
Marketing_Main,Denied a ticket again?,Tell us about the student lottery system and athletic points.,RH.ATH01.UNI.ALL.x1.SP26,RH,ATH01,UNI,ALL,x1,SP26
Marketing_Main,Late for class again?,"Tell us about parking tickets, full garages, and the shuttle system.",RH.TRN01.UNI.ALL.x1.SP26,RH,TRN01,UNI,ALL,x1,SP26
Marketing_Main,Is Greek Life exclusive or essential?,"Tell us about dues, social pressure, or finding community elsewhere.",RH.GRK01.UNI.ALL.x1.SP26,RH,GRK01,UNI,ALL,x1,SP26
Marketing_Main,Is this software obsolete?,"Tell us about labs, courses, or where tech is headed.",RH.FAC01.UNI.ALL.x1.SP26,RH,FAC01,UNI,ALL,x1,SP26
Marketing_Main,Have A Hot Take Or An Opinion?,Tell us about everything that bugs you.,RH.GEN01.UNI.ALL.x1.SP26,RH,GEN01,UNI,ALL,x1,SP26
Marketing_Main,Ready for the real world?,"Tell us about clinical rotations, policy, or what school misses.",RH.CRR01.UNI.ALL.x1.SP26,RH,CRR01,UNI,ALL,x1,SP26
Marketing_Main,Stressed? Overwhelmed?,"Tell us about pressure, mental health, or lousy library hours.",RH.HLT01.UNI.ALL.x1.SP26,RH,HLT01,UNI,ALL,x1,SP26
Marketing_Main,Is your degree a promise or a gamble?,"Tell us about the fear of debt, the job market, and Return on Investment.",RH.CRR02.UNI.ALL.x1.SP26,RH,CRR02,UNI,ALL,x1,SP26
Marketing_Main,Where does the money actually go?,"Tell us about hidden fees, tuition hikes, and administrative bloat.",RH.FIN02.UNI.ALL.x1.SP26,RH,FIN02,UNI,ALL,x1,SP26
Marketing_Main,Are you a student or a customer?,Tell us if you feel like a scholar or just a revenue stream.,RH.GEN02.UNI.ALL.x1.SP26,RH,GEN02,UNI,ALL,x1,SP26
Marketing_Main,Did Financial Aid ghost you again?,"Tell us about the bureaucracy, the waiting, and the fight for funds.",RH.FIN03.UNI.ALL.x1.SP26,RH,FIN03,UNI,ALL,x1,SP26
Marketing_Main,Are you just a dollar sign to them?,Tell us about the reality of being an out-of-state or international student.,RH.FIN04.UNI.ALL.x1.SP26,RH,FIN04,UNI,ALL,x1,SP26
Marketing_Main,Hungry for nothing?,"Tell us about raw chicken, mandatory meal plans, and reduced dining hours.",RH.DIN01.UNI.ALL.x1.SP26,RH,DIN01,UNI,ALL,x1,SP26
Marketing_Main,Is parking a service or a tax?,"Tell us about predatory ticketing, full garages, and the perimeter lot trek.",RH.TRN02.UNI.ALL.x1.SP26,RH,TRN02,UNI,ALL,x1,SP26
Marketing_Main,Did your advisor actually help?,"Tell us about gatekeeping, scheduling errors, and graduating late.",RH.ADV01.UNI.ALL.x1.SP26,RH,ADV01,UNI,ALL,x1,SP26
Marketing_Main,Why is the Wi-Fi broken again?,Tell us about infrastructure failures that happen right when assignments are due.,RH.FAC02.UNI.ALL.x1.SP26,RH,FAC02,UNI,ALL,x1,SP26
Marketing_Main,"Surrounded by people, still alone?","Tell us about the loneliness epidemic, making friends as a junior, or feeling invisible on a big campus.",RH.HLT02.UNI.ALL.x1.SP26,RH,HLT02,UNI,ALL,x1,SP26
